Absorption Doctrine,external repos are design references not dependencies; clean-room law,2026-09-25,deferred-external-scripts-inclusion
O2 Tank Law,receipts first no balloon before ledger,2026-09-17,deferred-doctrines
Ledger-before-Balloon,write findings to disk before announcing,2026-09-24,house law
One-Version Rule,single sanitized copy no internal version,2026-09-17,deferred-day-record
Outbound Sanitization,two-turn pass before third-party release,2026-09-17,deferred-outbound-sanitization-doctrine
Two-Witness Law,pre-registered tests two witnesses,2026-09-18,deferred-fleet-build-log
Wiring Law,two silence classes two laws,2026-09-19,deferred-fleet-build-log2
Sandbox Law S1-S7,clean sessions contamination monitors for A/B,2026-09-25,cloud-081
Cache Quarantine Law,per-session isolation incl diagnostic logs,2026-09-25,cloud-083
Belief-State Law,AI acts only on its own beliefs never god-view,2026-09-23,deferred-master-design
ER Shift-Change Report,face-to-face report + paired counts; origin of discrepancy table,2026-09-25,human.md
Rendered-View Law,Liber Status is a view not source of truth,2026-09-25,liber_status SCHEMA
