name,path,category,purpose,status,hygiene_flag,evidence,last_verified,verification_method,custody_sha256,known_unknown_id
vandal_box,tools/vandal_box/vandal_box.cpp,C++/FSM,"FSM/KB trainer box (C++ twin of vandal_lite)",CURRENT,,exe 09-22 >= src 09-22,2026-09-25,exe newer than src + audit 1a table,fc31e5f63da326bd,
vandal_lite,tools/vandal_lite/,Python/FSM,"FSM/GOAP/DPARQD engine (11 files, 2107 LOC)",CURRENT,,selftest 17/17 exit 0,2026-09-25,selftest witness,,KU-6
acme_moose_cli_v3,tools/native_pipe/acme_moose_cli-v3.cpp,C++/C2,"Named-pipe C2 CLI (PING/ECHO/STAT/QUIT)",CURRENT,,selftest exit 0,2026-09-25,pipe selftest witness,bc6ac5769bde7e03,
acme_moose_cli_v2,tools/acme_moose_cli-v2.cpp,C++/C2,"v2 CLI -> builds acme_c2_core.exe",STALE,,exe 09-09 < src 09-10,2026-09-25,audit 1a table,ed7607ef9d0c8b7d,
native_shm_bridge,src/native/native_shm_bridge.cpp,C++/C2,Shared-memory bridge,CURRENT,,exe 09-14 >= src 09-14,2026-09-25,audit 1a table,8f0e41e1d29b0206,
fortgrid_core,src/native/fortgrid_core.cpp,C++/LOS,"Fortification-grid fail-closed reader (.fgb)",CURRENT,,smoke 09-25 custody MATCH,2026-09-25,probe custody MATCH + ray receipt,a722789e50aca086,
modulator_shim,src/native/modulator_shim.cpp,C++/cognition,Cognitive modulator shim,UNBUILT,,no artifact ever,2026-09-25,audit 1a table,,
native_control_injector,src/native/native_control_injector.cpp,C++/C2,Stub 6 lines dead since 09-10,STUB,,absorb or delete,2026-09-25,audit 1c stub triage,,
fortgrid.py,tools/fortgrid.py,Python/maze,Maze/pathfinding lane core,CURRENT,,maze lane nightly use,2026-09-25,audit 1b highlights,,
maze_clip_analyzer.py,tools/maze_clip_analyzer.py,Python/maze,Wall-clip detection (L5 C3 detector family),CURRENT,,maze lane nightly use,2026-09-25,audit 1b highlights,,KU-3
tacview_forensics_l5.py,tools/tacview_forensics_l5.py,Python/maze,"KU-3 despair-clip forensics (stall/no-net-progress/clip/skirt)",CURRENT,,v2 refined run 09-26,2026-09-26,refined two-track run (both series parsed),,
